,id,authors,title,tags,doc_type,publisher,venue_name,venue_ID,references
64,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,1974211698.0
65,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,2060410491.0
66,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,2060939557.0
67,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,2129004433.0
68,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,2156145051.0
69,14870,"Tien Ho-Phuoc,Anne Guérin-Dugué,Nathalie Guyader",A COMPUTATIONAL SALIENCY MODEL INTEGRATING SACCADE PROGRAMMING,"Computer vision,Computer science,Salience (neuroscience),Artificial intelligence,Saccade",Conference,,International Conference on Bio-inspired Systems and Signal Processing,1198225011.0,
70,15548,"Marco Baroni,Francis Chantree,Adam Kilgarriff,Serge Sharoff",Cleaneval: a Competition for Cleaning Web Pages,"Web design,Web development,World Wide Web,Web intelligence,Web page,Semantic Web Stack,Computer science,Web standards,Web 2.0,HTML,Multimedia",Conference,,Language Resources and Evaluation,1164963593.0,1963679817.0
71,15548,"Marco Baroni,Francis Chantree,Adam Kilgarriff,Serge Sharoff",Cleaneval: a Competition for Cleaning Web Pages,"Web design,Web development,World Wide Web,Web intelligence,Web page,Semantic Web Stack,Computer science,Web standards,Web 2.0,HTML,Multimedia",Conference,,Language Resources and Evaluation,1164963593.0,1988325139.0
72,15548,"Marco Baroni,Francis Chantree,Adam Kilgarriff,Serge Sharoff",Cleaneval: a Competition for Cleaning Web Pages,"Web design,Web development,World Wide Web,Web intelligence,Web page,Semantic Web Stack,Computer science,Web standards,Web 2.0,HTML,Multimedia",Conference,,Language Resources and Evaluation,1164963593.0,2014516359.0
73,15883,"John R. Douceur,Jeremy Elson,Jon Howell,Jacob R. Lorch",Leveraging legacy code to deploy desktop applications on the web,"World Wide Web,Computer science,Machine code,Porting,Legacy code,Plug-in,Abstraction layer,OpenGL,Operating system,Python (programming language),Source lines of code",Conference,USENIX Association,Operating Systems Design and Implementation,1185109434.0,114793137.0
